DiaChi,Quan,TinhTrangBDS,DienTich,Phongngu,PhongTam,Loai,GiayTo,TinhTrangNoiThat,Gia,USD,log_price
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh",9,1,47.0,1.0,1.0,1,1,1,1750000000.0,72917.0,11.197077086969871
"Đường Trịnh Quang Nghị, Phường 7, Quận 8, Tp Hồ Chí Minh",8,1,51.0,2.0,2.0,1,3,2,1450000000.0,60417.0,11.009025801274973
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh",9,2,47.0,1.0,1.0,1,2,2,1980000000.0,82500.0,11.320553572322773
"Lô 5, Lô 5 Khu đô thị Vĩnh Lộc, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",13,1,63.0,2.0,2.0,1,2,1,1650000000.0,68750.0,11.138232015528818
"Đường Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",13,1,50.0,1.0,1.0,1,1,2,1395000000.0,58125.0,10.970351142889658
"Đường Trịnh Quang Nghị, Phường 7, Quận 8, Tp Hồ Chí Minh",8,1,80.0,2.0,1.0,1,1,1,1490000000.0,62083.0,11.036227478431766
"159/21, 159/21 Đường 11, Phường Trường Thọ, Quận Thủ Đức, Tp Hồ Chí Minh",14,1,47.0,2.0,1.0,1,1,2,1850000000.0,77083.0,11.252638042372888
"16, 16 Đường Âu Cơ, Phường Tân Sơn Nhì, Quận Tân Phú, Tp Hồ Chí Minh",19,1,88.0,2.0,2.0,1,1,2,1210000000.0,50417.0,10.82808369877337
"Đường Bế Văn Cấm, Phường Tân Kiểng, Quận 7, Tp Hồ Chí Minh",7,1,55.0,1.0,1.0,4,2,3,1850000000.0,77083.0,11.252638042372888
"54, Đường Hoàng Kim Giao, Phường 5, Quận 8, Tp Hồ Chí Minh",8,1,64.0,2.0,1.0,1,1,2,1670000000.0,69583.0,11.150275563614356
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh",9,1,30.0,1.0,1.0,1,1,1,1350000000.0,56250.0,10.937561320066669
"Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh",18,1,52.0,1.0,1.0,1,2,1,1600000000.0,66667.0,11.107465356849564
"Đường 18, Phường Hiệp Bình Chánh, Quận Thủ Đức, Tp Hồ Chí Minh",14,2,72.0,2.0,2.0,1,3,2,2500000.0,104.0,4.6443908991413725
"Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh",9,1,52.0,2.0,1.0,1,1,1,1700000000.0,70833.0,11.168080272785073
"Đường Cây Keo, Phường Tam Phú, Quận Thủ Đức, Tp Hồ Chí Minh",14,1,56.0,2.0,2.0,1,2,1,1600000000.0,66667.0,11.107465356849564
"Số 200, Số 200 đường 3/2, Phường 12, Quận 10, Tp Hồ Chí Minh",10,1,86.0,2.0,2.0,1,1,2,1520000000.0,63333.0,11.056161799302767
"83, 83 Đường Lý Chính Thắng, Phường 8, Quận 3, Tp Hồ Chí Minh",3,1,72.0,2.0,2.0,1,1,2,1680000000.0,70000.0,11.156250521031495
"Nguyễn Văn Linh, Phường 7, Quận 8, Tp Hồ Chí Minh",8,2,56.0,2.0,2.0,1,3,1,1575000000.0,65625.0,11.091711999893924
"Lô 5, Lô 5 Khu đô thị Vĩnh Lộc, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",13,1,68.0,2.0,2.0,1,2,1,1630000000.0,67917.0,11.126041650398417
"243, Đường Tân Hòa Đông, Phường 14, Quận 6, Tp Hồ Chí Minh",6,1,72.0,3.0,2.0,1,2,1,1700000000.0,70833.0,11.168080272785073
"Số 59, Số 59 Đường Ngô Tất Tố, Phường 21, Quận Bình Thạnh, Tp Hồ Chí Minh",15,1,75.0,2.0,2.0,1,1,2,1435000000.0,59792.0,10.998627151725264
"Đường Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",13,1,50.0,2.0,2.0,1,1,1,1400000000.0,58333.0,10.9739232499355
"2, 2 Đường Trương Đăng Quế, Phường 3, Quận Gò Vấp, Tp Hồ Chí Minh",20,1,96.0,3.0,2.0,1,1,2,1320000000.0,55000.0,10.915088464214609
"Đường Hà Huy Giáp, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh",12,2,58.0,2.0,2.0,1,2,3,1490000000.0,62083.0,11.036227478431766
"Phan Huy Ích, Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh",12,1,40.0,1.0,1.0,2,1,2,950000000.0,39583.0,10.58615501214069
"Đường Hoàng Quốc Việt, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",7,1,88.0,2.0,2.0,1,1,2,1480000000.0,61667.0,11.02950422078315
"Đường Thống Nhất, Phường Hiệp Bình Chánh, Quận Thủ Đức, Tp Hồ Chí Minh",14,2,56.0,1.0,1.0,2,3,3,1800000000.0,75000.0,11.225243392518449
"Số 2225, Số 2225 Đường Phạm Thế Hiển, Phường 6, Quận 8, Tp Hồ Chí Minh",8,1,65.0,2.0,2.0,1,2,1,1900000000.0,79167.0,11.279314824306176
"Quốc Lộ 13, Phường Bình Chiểu, Quận Thủ Đức, Tp Hồ Chí Minh",14,2,43.0,1.0,1.0,1,2,3,1020000000.0,42500.0,10.657259354912508
"Đường Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",7,1,109.0,3.0,2.0,1,1,2,1380000000.0,57500.0,10.959540226785442
"Đường Phan Huy Ích, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",17,1,40.0,1.0,1.0,2,1,2,950000000.0,39583.0,10.58615501214069
"243, Đường Tân Hòa Đông, Phường 14, Quận 6, Tp Hồ Chí Minh",6,1,72.0,3.0,2.0,1,2,1,1700000000.0,70833.0,11.168080272785073
"Đường Trường Chinh, Phường Tây Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",19,1,40.0,1.0,1.0,2,1,3,950000000.0,39583.0,10.58615501214069
"Đường Phan Huy Ích, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",17,1,40.0,1.0,1.0,2,1,2,950000000.0,39583.0,10.58615501214069
"50/78, Đường Quốc Lộ 50, Xã Quy Đức, Huyện Bình Chánh, Tp Hồ Chí Minh",16,1,80.0,3.0,3.0,4,1,1,780000000.0,32500.0,10.388995368317827
"NGAY CẦu Vượt Hoàng Hoa Thám, Phường 13, Quận Tân Bình, Tp Hồ Chí Minh",17,1,28.0,1.0,1.0,2,1,2,4600000.0,192.0,5.2574953720277815
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh",9,1,48.79,1.0,1.0,1,2,1,1620000000.0,67500.0,11.119882876860622
"41, Trung Mỹ Tây 2A, Phường Trung Mỹ Tây, Quận 12, Tp Hồ Chí Minh",12,1,70.0,2.0,2.0,1,2,1,1620000000.0,67500.0,11.119882876860622
"Đường Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",13,1,50.0,1.0,1.0,1,1,2,1395000000.0,58125.0,10.970351142889658
"Đường Phan Huy Ích, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",17,1,40.0,1.0,1.0,2,1,2,950000000.0,39583.0,10.58615501214069
"Đường Trịnh Quang Nghị, Phường 7, Quận 8, Tp Hồ Chí Minh",8,2,62.0,2.0,2.0,1,2,1,1500000000.0,62500.0,11.042921835724492
"Đường Thống Nhất, Phường Linh Trung, Quận Thủ Đức, Tp Hồ Chí Minh",14,2,76.0,2.0,2.0,1,3,1,720000000.0,30000.0,10.308952660644293
"Lô 5, Lô 5 Khu đô thị Vĩnh Lộc, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",13,1,71.89,2.0,2.0,1,2,2,1850000000.0,77083.0,11.252638042372888
"Đường Nguyễn Văn Linh, Phường 7, Quận 8, Tp Hồ Chí Minh",8,2,56.0,2.0,2.0,1,1,2,1500000000.0,62500.0,11.042921835724492
"Đường Cách Mạng Tháng Tám, Phường 10, Quận 3, Tp Hồ Chí Minh",3,2,24.0,1.0,1.0,2,3,2,950000000.0,39583.0,10.58615501214069
"Khu Đô Thị Vĩnh Lộc, Bình Hưng Hòa, Bình Tân, TpHCM, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",13,1,49.0,1.0,1.0,1,1,2,1390000000.0,57917.0,10.96676623013805
"Đường Phan Huy Ích, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",17,1,40.0,1.0,1.0,2,1,2,950000000.0,39583.0,10.58615501214069
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh",9,1,59.0,2.0,1.0,1,2,1,1255000000.0,52292.0,10.864598674681751
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh",9,1,46.0,1.0,1.0,1,2,1,1556000000.0,64833.0,11.079570011971136
"đường Nguyễn văn Dung, Phường 6, Quận Gò Vấp, Tp Hồ Chí Minh",20,1,60.0,2.0,2.0,1,2,2,1680000000.0,70000.0,11.156250521031495
"số 623E, số 623E Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Tp Hồ Chí Minh",9,1,68.0,2.0,2.0,1,1,2,1460000000.0,60833.0,11.015887683869506
"A302, Đường Phạm Thế Hiển, Phường 7, Quận 8, Tp Hồ Chí Minh",8,1,80.0,2.0,1.0,1,1,2,1550000000.0,64583.0,11.07570649724384
"Số 207, Số 207 Đường Nguyễn Xí, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh",15,1,73.0,2.0,2.0,1,1,2,1620000000.0,67500.0,11.119882876860622
"Đường Xa lộ Đại Hàn, Phường Tam Bình, Quận Thủ Đức, Tp Hồ Chí Minh",14,1,38.0,1.0,1.0,1,1,2,1200000000.0,50000.0,10.819778284410283
"Lô 5, Lô 5 Khu đô thị Vĩnh Lộc, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",13,1,63.0,2.0,2.0,1,2,1,1650000000.0,68750.0,11.138232015528818
"Đường Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",13,1,50.0,1.0,1.0,1,1,2,1395000000.0,58125.0,10.970351142889658
"Đường Phan Huy Ích, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",17,1,40.0,1.0,1.0,2,1,2,950000000.0,39583.0,10.58615501214069
"Đường Nguyễn Văn Linh, Xã An Phú Tây, Huyện Bình Chánh, Tp Hồ Chí Minh",16,1,55.0,2.0,2.0,1,2,2,970000000.0,40417.0,10.60700576752029
"9A Đường Thạnh Xuân 13, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",12,2,70.0,2.0,2.0,1,1,3,1800000000.0,75000.0,11.225243392518449
"Đường Tôn Đức Thắng, Phường Bến Thành, Quận 1, Tp Hồ Chí Minh",1,2,62.0,1.0,1.0,1,2,3,200000000.0,8333.0,9.027978814382209
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh",9,1,47.0,1.0,1.0,1,2,1,1850000000.0,77083.0,11.252638042372888
"Phan Huy Ích, Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh",12,1,40.0,1.0,1.0,2,1,2,950000000.0,39583.0,10.58615501214069
"Đường Số 52, Phường Tân Tạo, Quận Bình Tân, Tp Hồ Chí Minh",13,1,72.0,2.0,2.0,1,1,2,1800000000.0,75000.0,11.225243392518449
"Đường Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",13,1,50.0,1.0,1.0,1,1,2,1395000000.0,58125.0,10.970351142889658
"Lô 5, Lô 5 Khu đô thị Vĩnh Lộc, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",13,1,63.0,2.0,2.0,1,2,1,1650000000.0,68750.0,11.138232015528818
"Đường Phan Huy Ích, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",17,1,40.0,1.0,1.0,2,1,2,950000000.0,39583.0,10.58615501214069
"Khu M5, Khu M5 Đường Phú Mỹ Hưng, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh",7,2,155.0,3.0,3.0,5,2,4,90000000.0,3750.0,8.229511118964457
"đường Liên Phường, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh",9,1,52.0,2.0,1.0,1,2,1,1950000000.0,81250.0,11.305286100191983
"Đường Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",13,1,50.0,1.0,1.0,1,1,2,1395000000.0,58125.0,10.970351142889658
"Đường Dương Thị Giang, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh",12,2,69.0,2.0,2.0,1,1,1,1600000000.0,66667.0,11.107465356849564
"Đường Phạm Đức Sơn, Phường 16, Quận 8, Tp Hồ Chí Minh",8,1,57.0,1.0,1.0,1,1,2,1750000000.0,72917.0,11.197077086969871
"Đường Hương Lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh",13,1,48.0,1.0,1.0,1,2,1,1500000000.0,62500.0,11.042921835724492
"10A, 10A Đường Tô Ký, Phường Trung Mỹ Tây, Quận 12, Tp Hồ Chí Minh",12,1,51.0,2.0,2.0,1,1,1,1700000000.0,70833.0,11.168080272785073
"Lô 5, Lô 5 Khu đô thị Vĩnh Lộc, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",13,1,63.0,2.0,2.0,1,2,1,1650000000.0,68750.0,11.138232015528818
"Phan Huy Ích, Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh",12,1,40.0,1.0,1.0,2,1,2,950000000.0,39583.0,10.58615501214069
"243, Đường Tân Hòa Đông, Phường 14, Quận 6, Tp Hồ Chí Minh",6,1,72.0,3.0,2.0,1,2,1,1700000000.0,70833.0,11.168080272785073
"Đường Bà Làng, Xã Bình Chánh, Huyện Bình Chánh, Tp Hồ Chí Minh",16,1,45.0,3.0,2.0,2,1,2,790000000.0,32917.0,10.401744520626265
"113/89, 113/89 Đường An Dương Vương, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",13,1,68.0,2.0,1.0,1,1,3,1700000000.0,70833.0,11.168080272785073
"243, Đường Tân Hòa Đông, Phường 14, Quận 6, Tp Hồ Chí Minh",6,1,72.0,3.0,2.0,1,2,1,1700000000.0,70833.0,11.168080272785073
"Đường Liên Phường, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh",9,1,50.0,2.0,1.0,1,1,1,1500000000.0,62500.0,11.042921835724492
"Đường Nguyễn Văn Linh, Phường 7, Quận 8, Tp Hồ Chí Minh",8,2,56.0,2.0,2.0,1,1,2,1500000000.0,62500.0,11.042921835724492
"Đường Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",7,2,41.0,1.0,1.0,4,3,1,969000000.0,40375.0,10.605966060524958
"Đường Phan Huy Ích, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",17,1,40.0,1.0,1.0,2,1,2,950000000.0,39583.0,10.58615501214069
"Đường Liên Phường, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh",9,1,50.0,2.0,1.0,1,1,1,1500000000.0,62500.0,11.042921835724492
"Lô 5, Lô 5 Khu đô thị Vĩnh Lộc, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",13,1,63.0,2.0,2.0,1,2,1,1650000000.0,68750.0,11.138232015528818
"Đường Trịnh Quang Nghị, Phường 7, Quận 8, Tp Hồ Chí Minh",8,2,62.0,2.0,2.0,1,3,1,1750000000.0,72917.0,11.197077086969871
"Đường Liên Phường, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh",9,1,50.0,2.0,1.0,1,1,1,1500000000.0,62500.0,11.042921835724492
"Lô 5, Lô 5 Khu đô thị Vĩnh Lộc, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",13,1,68.0,2.0,2.0,1,2,1,1630000000.0,67917.0,11.126041650398417
"QL13, Phường Hiệp Bình Phước, Quận Thủ Đức, Tp Hồ Chí Minh",14,2,51.0,1.0,1.0,1,2,3,31000000.0,1292.0,7.163946684342547
"Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh",12,1,58.0,2.0,2.0,1,1,1,1650000000.0,68750.0,11.138232015528818
"Đường Võ Công Tồn, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh",19,1,82.7,2.0,1.0,1,1,2,1975000000.0,82292.0,11.318029176594122
"601 Đường Tô Ngọc Vân, Phường Tam Bình, Quận Thủ Đức, Tp.HCM",14,2,53.0,2.0,2.0,1,2,1,310000000.0,12917.0,9.466299552232016
"Phan Huy Ích, Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh",12,1,40.0,1.0,1.0,2,1,2,950000000.0,39583.0,10.58615501214069
"Đường Liên Phường, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh",9,1,50.0,2.0,1.0,1,1,1,1500000000.0,62500.0,11.042921835724492
"Đường Mai Chí Thọ, Phường An Khánh, Quận 2, Tp Hồ Chí Minh",2,1,71.0,2.0,1.0,1,1,2,1700000000.0,70833.0,11.168080272785073
"13E, Đường Nguyễn Văn Linh, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh",16,2,50.0,2.0,2.0,1,3,3,1350000000.0,56250.0,10.937561320066669
"Đường Phạm Văn Bạch, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",17,1,45.0,1.0,1.0,1,2,3,900000000.0,37500.0,10.532096211958502
"243, Đường Tân Hòa Đông, Phường 14, Quận 6, Tp Hồ Chí Minh",6,1,72.0,3.0,2.0,1,2,1,1700000000.0,70833.0,11.168080272785073
"TL 27, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh",12,1,42.5,2.0,1.0,1,2,1,1100000000.0,45833.0,10.732759634666934
"B.15.01, Đường Số 17, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh",18,1,76.0,2.0,2.0,1,1,2,1800000000.0,75000.0,11.225243392518449
"Lô 5, Lô 5 Khu đô thị Vĩnh Lộc, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",13,1,53.0,2.0,1.0,1,2,1,1530000000.0,63750.0,11.062724463020672
"755, Đường Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh",18,1,67.0,2.0,2.0,1,2,2,1150000000.0,47917.0,10.77722562648903
"đường Lê Văn Lương, xã Nhơn Đức, huyện Nhà Bè, Tp.HCM, Xã Nhơn Đức, Huyện Nhà Bè, Tp Hồ Chí Minh",18,2,50.0,2.0,1.0,1,2,1,500000000.0,20833.0,9.944293546928382
"755, Đường Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh",18,1,61.0,2.0,2.0,1,2,3,1100000000.0,45833.0,10.732759634666934
"Đường Liên Phường, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh",9,1,50.0,2.0,1.0,1,1,1,1500000000.0,62500.0,11.042921835724492
"Đường 138, Phường Tân Phú, Quận 9, Tp Hồ Chí Minh",9,2,69.31,3.0,2.0,1,2,1,1680000000.0,70000.0,11.156250521031495
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh",9,1,59.4,2.0,1.0,1,2,1,1917543368.0,79898.0,11.288506100151968
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh",9,1,59.0,2.0,1.0,1,2,1,1690000000.0,70417.0,11.162189990267915
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh",9,1,47.0,2.0,1.0,1,2,3,1708000000.0,71167.0,11.172784506812487
"Đường Phan Huy Ích, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",17,2,40.0,2.0,1.0,1,1,3,900000000.0,37500.0,10.532096211958502
"243, Đường Tân Hòa Đông, Phường 14, Quận 6, Tp Hồ Chí Minh",6,1,72.0,3.0,2.0,1,2,1,1700000000.0,70833.0,11.168080272785073
"119, 119 BÌNH LONG, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh",13,1,65.0,2.0,2.0,1,2,1,1900000000.0,79167.0,11.279314824306176
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh",9,1,47.0,2.0,1.0,1,2,1,1699000000.0,70792.0,11.167501278947189
"Đường CC5, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh",19,1,72.0,2.0,2.0,1,1,2,1750000000.0,72917.0,11.197077086969871
"Đường Nguyễn Văn Linh, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh",7,1,52.0,1.0,1.0,3,3,1,800000000.0,33333.0,10.41430317625212
"Đường Số 12, Phường Hiệp Bình Chánh, Quận Thủ Đức, Tp Hồ Chí Minh",14,2,50.0,1.0,1.0,1,3,1,1400000000.0,58333.0,10.9739232499355
"Lô 5, Lô 5 Khu đô thị Vĩnh Lộc, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",13,1,63.0,2.0,2.0,1,2,1,1650000000.0,68750.0,11.138232015528818
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh",9,1,45.0,1.0,1.0,1,3,1,1200000000.0,50000.0,10.819778284410283
"Phan Huy Ích, Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh",12,1,40.0,1.0,1.0,2,1,2,950000000.0,39583.0,10.58615501214069
"Lô 5, Lô 5 Khu đô thị Vĩnh Lộc, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",13,1,68.0,2.0,2.0,1,2,1,1630000000.0,67917.0,11.126041650398417
"Đường Bùi Tư Toàn, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",13,2,40.0,1.0,1.0,1,1,3,970000000.0,40417.0,10.60700576752029
"Đường Phan Huy Ích, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",17,2,40.0,2.0,1.0,1,1,3,880000000.0,36667.0,10.509632446974212
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh",9,1,47.0,2.0,1.0,1,2,3,1295000000.0,53958.0,10.895961245142573
"Đường Phan Huy Ích, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",17,2,40.0,2.0,1.0,1,1,3,880000000.0,36667.0,10.509632446974212
"Đường Phan Huy Ích, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",17,2,50.0,2.0,1.0,1,1,3,900000000.0,37500.0,10.532096211958502
"Đường Phạm Văn Bạch, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",17,1,45.0,1.0,1.0,1,2,3,900000000.0,37500.0,10.532096211958502
"đường Tân Chánh Hiệp 21, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh",12,1,70.0,2.0,1.0,1,2,1,1700000000.0,70833.0,11.168080272785073
"Đường Phạm Đức Sơn, Phường 16, Quận 8, Tp Hồ Chí Minh",8,1,68.0,2.0,2.0,1,2,2,1900000000.0,79167.0,11.279314824306176
"Đường Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh",8,1,46.0,1.0,1.0,4,2,1,1730000000.0,72083.0,11.185573511837868
"Đường Phan Huy Ích, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",17,1,40.0,1.0,1.0,2,1,2,950000000.0,39583.0,10.58615501214069
"Lô 5, Lô 5 Khu đô thị Vĩnh Lộc, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",13,1,63.0,2.0,2.0,1,2,1,1650000000.0,68750.0,11.138232015528818
"An Hòa 2, Đường Số 3, Phường Tân Thuận Đông, Quận 7, Tp Hồ Chí Minh",7,1,60.0,1.0,1.0,1,1,1,500000000.0,20833.0,9.944293546928382
"9A Đường Thạnh Xuân 13, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh",12,2,57.0,2.0,1.0,1,2,3,1200000000.0,50000.0,10.819778284410283
"Đường Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",13,1,50.0,1.0,1.0,1,1,2,1395000000.0,58125.0,10.970351142889658
"Lô 5, Lô 5 Khu đô thị Vĩnh Lộc, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",13,1,63.0,2.0,2.0,1,2,1,1650000000.0,68750.0,11.138232015528818
"Đường 138, Phường Tân Phú, Quận 9, Tp Hồ Chí Minh",9,1,60.0,2.0,2.0,1,2,1,1436000000.0,59833.0,10.999312627196202
"16, 16 Đường Phổ Quang, Phường 2, Quận Tân Bình, Tp Hồ Chí Minh",17,1,97.0,3.0,2.0,1,2,2,4700000.0,196.0,5.278114659230517
"Đường Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",13,1,50.0,1.0,1.0,1,1,2,1395000000.0,58125.0,10.970351142889658
"Đường Trịnh Quang Nghị, Phường 7, Quận 8, Tp Hồ Chí Minh",8,2,81.0,3.0,2.0,1,2,3,1870000000.0,77917.0,11.26339943654854
"Đường Nguyễn Thị Định, Phường Cát Lái, Quận 2, Tp Hồ Chí Minh",2,1,61.0,2.0,2.0,1,2,2,1880000000.0,78333.0,11.268724249129985
"Đường Phạm Văn Nghị, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh",7,1,70.0,2.0,2.0,1,1,3,2550000.0,106.0,4.663439094112067
"Lô 5, Lô 5 Khu đô thị Vĩnh Lộc, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",13,1,68.0,2.0,2.0,1,2,1,1630000000.0,67917.0,11.126041650398417
"Đường Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",13,1,50.0,1.0,1.0,1,1,2,1395000000.0,58125.0,10.970351142889658
"16, 16 Đường Phổ Quang, Phường 2, Quận Tân Bình, Tp Hồ Chí Minh",17,1,36.0,1.0,1.0,4,2,2,1750000000.0,72917.0,11.197077086969871
"Đường Cây Keo, Phường Tam Phú, Quận Thủ Đức, Tp Hồ Chí Minh",14,1,52.0,2.0,1.0,1,1,2,1460000000.0,60833.0,11.015887683869506
"Lô 5, Lô 5 Khu đô thị Vĩnh Lộc, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",13,1,68.0,2.0,2.0,1,2,1,1630000000.0,67917.0,11.126041650398417
"Phan Huy Ích, Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh",12,1,40.0,1.0,1.0,2,1,2,950000000.0,39583.0,10.58615501214069
"Lô 5, Lô 5 Khu đô thị Vĩnh Lộc, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",13,1,63.0,2.0,2.0,1,2,1,1650000000.0,68750.0,11.138232015528818
"Đường Phạm Văn Đồng, Phường Linh Tây, Thủ Đức, Hồ Chí Minh, Phường Hiệp Bình Chánh, Quận Thủ Đức, Tp Hồ Chí Minh",14,2,100.0,3.0,2.0,1,2,1,35000000.0,1458.0,7.284820912568604
"16, 16 Đường Phổ Quang, Phường 2, Quận Tân Bình, Tp Hồ Chí Minh",17,1,75.0,2.0,2.0,1,1,3,3550000.0,148.0,4.997212273764115
